type,count,percent
Administrative,7,0
Train/Rail Fire,13,0
Marine Fire,15,0
High Angle Rescue,25,0.01
Watercraft in Distress,29,0.01
Suspicious Package,29,0.01
Assist Polic,36,0.01
Mutual Aid/Assist Outside Agency,48,0.02
Confined Space/Structure Collapse,48,0.02
Extrication/Entrapped,49,0.02
Industrial Accidents,65,0.02
Explosion,67,0.02
Train/Rail Incident,144,0.05
HazMat,144,0.05
Odor,233,0.07
Fuel Spill,274,0.09
Smoke Investigation,829,0.27
Elevator/Escalator Rescue,931,0.3
Electrical Hazard,986,0.32
Vehicle Fire,1064,0.34
Water Rescure,1497,0.48
Gas Leak,1756,0.57
Citizen Assist/Service Call,4139,1.33
Other,4177,1.34
Outside Fire,4607,1.48
Traffic Collision,13366,4.3
Structure Fire,26737,8.61
Alarms,35440,11.41
Medical Incident,213945,68.86
